Zipcode,Population
97004,4022.0
97017,2867.0
97021,1263.0
97845,2588.0
97825,313.0
97838,26202.0
97842,137.0
97848,241.0
97883,2438.0
97885,1120.0
97914,18774.0
97029,261.0
97001,373.0
97013,23389.0
97022,3105.0
97002,5989.0
03266,2317.0
03278,2879.0
03282,787.0
03442,1381.0
03574,2540.0
03576,3188.0
03584,3699.0
03588,1643.0
03602,2853.0
03801,22297.0
03810,1996.0
03833,21475.0
03841,6424.0
99166,3174.0
99176,183.0
99179,547.0
99663,445.0
99630,191.0
99637,503.0
99658,649.0
99671,513.0
99679,431.0
99681,315.0
99684,705.0
99688,2755.0
99694,1586.0
01007,14888.0
01020,30629.0
01030,11278.0
01034,2323.0
01035,5338.0
01053,1697.0
01057,8773.0
01082,10612.0
01085,41479.0
01088,433.0
01104,23183.0
01106,15983.0
01226,6885.0
01255,869.0
01258,359.0
01301,17730.0
01339,1461.0
01370,3879.0
01375,3673.0
01452,4537.0
01464,7433.0
01474,1939.0
01501,16239.0
01503,3061.0
01504,9068.0
01510,13759.0
01003,11296.0
03229,5601.0
03243,1022.0
03263,4052.0
03444,1468.0
03448,731.0
03464,1063.0
03466,1096.0
03608,2505.0
03765,510.0
03773,7556.0
03816,1259.0
03830,2277.0
03235,8522.0
03237,2098.0
03262,920.0
03264,7230.0
03597,372.0
03604,431.0
03740,757.0
25083,929.0
25984,1883.0
25985,256.0
25021,324.0
25043,1452.0
25048,61.0
25053,4555.0
25075,631.0
25076,368.0
25085,998.0
25090,143.0
25102,233.0
25103,193.0
25126,47.0
25130,3386.0
25141,239.0
25164,1102.0
25165,500.0
25169,689.0
25174,613.0
25177,24171.0
25193,395.0
25025,105.0
25054,533.0
25214,671.0
25241,2092.0
25306,6512.0
25422,2081.0
25427,12812.0
17025,17034.0
17090,5496.0
17265,641.0
17028,3718.0
17067,14500.0
17228,1168.0
17886,1088.0
17964,870.0
17083,12.0
17221,511.0
17327,7461.0
17509,4942.0
17762,575.0
17860,2557.0
17764,2224.0
17814,5029.0
17830,2017.0
17938,2473.0
17985,1181.0
17744,3166.0
17868,986.0
17980,3042.0
17015,21634.0
17030,935.0
17039,92.0
17050,35908.0
17056,63.0
17071,142.0
17120,0.0
17202,30242.0
24165,1325.0
24225,1871.0
24236,2981.0
24245,908.0
24266,9101.0
24272,439.0
24277,6676.0
24311,1978.0
24343,9038.0
24401,35789.0
24448,314.0
24471,1364.0
24168,281.0
24174,2857.0
24210,17109.0
24221,766.0
24226,1462.0
24243,2255.0
24244,6176.0
24251,8371.0
24415,94.0
24422,6167.0
24093,132.0
24137,2504.0
24148,7815.0
24202,12154.0
24934,380.0
24945,444.0
24966,1591.0
25437,377.0
25512,1020.0
25521,959.0
25526,22772.0
25545,5262.0
25637,726.0
25638,987.0
25647,931.0
25651,671.0
25678,1530.0
25119,353.0
25121,742.0
25132,195.0
25133,1165.0
25243,676.0
25252,1318.0
25259,505.0
25265,1355.0
25285,635.0
25287,1297.0
25059,629.0
25060,369.0
25123,3359.0
25932,113.0
25848,310.0
25653,342.0
25654,252.0
25669,972.0
25688,277.0
25701,21815.0
24312,1946.0
24412,54.0
24258,1666.0
24325,927.0
24130,20.0
24246,431.0
24411,51.0
24476,176.0
24570,16.0
24729,202.0
24738,194.0
24826,85.0
24834,427.0
24847,366.0
24878,524.0
24613,319.0
24635,1340.0
24649,3036.0
24714,177.0
24716,497.0
24747,2796.0
24808,615.0
24816,220.0
24853,485.0
24879,614.0
24861,185.0
24870,2828.0
24873,315.0
24701,20837.0
25901,11381.0
25928,416.0
25971,1008.0
25977,165.0
25981,655.0
25118,775.0
25086,748.0
25111,515.0
25114,612.0
25148,451.0
25149,210.0
25154,610.0
25160,143.0
25168,2220.0
25181,1334.0
25186,968.0
25205,533.0
25211,235.0
25301,2472.0
25304,8321.0
25401,13934.0
25444,142.0
25503,1368.0
25510,5061.0
25511,1149.0
25547,911.0
25646,994.0
25661,6379.0
25672,411.0
25801,33913.0
25264,341.0
25309,13561.0
25044,261.0
25873,570.0
25876,67.0
25906,269.0
25911,55.0
25115,125.0
25430,8228.0
25854,1001.0
25969,1118.0
25868,238.0
25871,577.0
25913,324.0
25917,2152.0
25922,264.0
25857,215.0
25862,95.0
25005,101.0
25844,1376.0
25823,2339.0
25827,2617.0
25831,1376.0
25915,364.0
25918,4174.0
25938,1252.0
25978,674.0
25202,1224.0
25213,6045.0
18076,2922.0
18078,7219.0
18081,181.0
18087,699.0
18092,3058.0
18201,27065.0
18211,1596.0
18357,197.0
18428,12240.0
18431,11968.0
18447,10744.0
18451,581.0
18465,1339.0
18508,12613.0
18519,4639.0
18602,307.0
18441,258.0
18444,13882.0
18452,4747.0
18472,7364.0
18504,20138.0
18505,20485.0
18612,18615.0
18628,228.0
18632,470.0
18656,2271.0
18704,31108.0
18801,8056.0
18824,1426.0
18640,17470.0
21914,682.0
21919,2997.0
21040,24590.0
21042,39812.0
21051,361.0
21054,10449.0
21061,54247.0
21087,5559.0
21034,3435.0
21047,12340.0
21050,18533.0
21626,165.0
21628,643.0
21678,2128.0
21703,34666.0
